BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
PRATT,KS,2009,73100,9348,7.82,3,4564,4784,95.72,1.65,0.76,5.03,308,11.2,44479,10.95,26.75,38.55,23.7,31.6,29.61,68.74,4.97,0.03
SEWARD,KS,2012,73100,23368,3.13,2,11999,11369,89.22,4.23,1.47,57.89,1209,16.3,47801,34.55,26.8,25.85,12.85,34.9,28.79,69.88,4.12,0.05
MASSAC,IL,2011,73050,15279,4.78,3,7323,7956,91.57,5.73,0.44,2.24,0,18.8,39308,19.05,34.5,35.05,11.4,34.5,33.53,64.61,8.89,0
ITASCA,MN,2009,73020,44601,1.64,1,22421,22180,93.58,0.72,3.75,1.55,586,13.6,42896,10.5,32.35,37,20.15,26.6,54.82,42.67,10.75,0.01
JUNEAU,AK,2008,73000,30987,2.36,2,15808,15179,74,1.49,12.65,5.2,1550.5,6.7,71313,5.4,21.25,35.2,38.15,26.7,41.89348296,56.47174823,5.91173503,0.05
PONTOTOC,MS,2011,73000,29781,2.45,2,14672,15109,83.59,14.39,0.54,6.07,925,16.6,38348,28.65,32.35,25.9,13.15,33.8,22.77,76.11,9.34,0.03
LEXINGTON CITY,VA,2012,72950,7011,10.41,4,3924,3087,85.38,9.54,0.23,3.97,206,24,40250,19.7,19.95,19.85,40.55,27.2,55.3,42.65,7.747876585,0.03
KINGFISHER,OK,2010,72940,15034,4.85,3,7434,7600,92.59,1.24,3.39,13.45,507,11.9,48255,15.35,37.3,27.35,19.9,31.6,15.69,84.31,5.06,0.03
KINGFISHER,OK,2012,72920,14998,4.86,3,7444,7554,92.11,1.45,3.51,14.08,78,10,53332,15.35,37.3,27.35,19.9,29.1,15.57,84.43,3.33,0.01
BOONE,IA,2011,72900,26289,2.77,2,13246,13043,97.46,0.84,0.37,2.06,673,9.9,50758,8.6,35.95,33.9,21.5,30.3,52.36,45.47,4.94,0.03
DORCHESTER,MD,2008,72900,31992,2.28,2,15255,16737,70.05,27.48,0.33,3.12,2751,14.3,43288,20.25,40.2,23.55,16.05,33.6,45.25,53.48,6.72,0.09
HASKELL,OK,2011,72900,12724,5.73,3,6340,6384,75.5,0.53,16.25,3.66,420,20.2,33309,25.6,36.25,26.55,11.6,34,28.64,71.36,8.88,0.03
MORGAN,CO,2012,72900,28257,2.58,2,14026,14231,92.95,3.2,1.46,34.79,1614,13.4,44577,24.05,31.1,29.6,15.35,27.8,36.3,61.26,6.74,0.06
